Sexo,AnoEscolar,Serie,Disciplinas,Semestre,ParticipacaoAtivaSalaDeAula,UsoMaterialEscolar,SatisfacaoEscolar,Faltas
M,EnsinoMedio,TerceiroAnoEM,Historia,Primeiro,15,Sim,Bom,Acima-15
M,EnsinoMedio,SegundoAnoEM,Historia,Primeiro,20,Sim,Bom,Acima-15
M,EnsinoFundamental,SextoAnoF,Historia,Primeiro,10,Sim,Ruim,Abaixo-15
M,EnsinoFundamental,SextoAnoF,Historia,Primeiro,30,Sim,Ruim,Abaixo-15
M,EnsinoFundamental,SextoAnoF,Historia,Primeiro,40,Sim,Ruim,Abaixo-15
F,EnsinoFundamental,SextoAnoF,Historia,Primeiro,42,Sim,Ruim,Abaixo-15
M,EnsinoFundamental,SextoAnoF,Matematica,Primeiro,35,Sim,Ruim,Abaixo-15
M,EnsinoFundamental,SextoAnoF,Matematica,Primeiro,50,Sim,Bom,Acima-15
F,EnsinoFundamental,SextoAnoF,Matematica,Primeiro,12,Sim,Bom,Acima-15
F,EnsinoFundamental,SextoAnoF,Historia,Primeiro,70,Sim,Bom,Acima-15
M,EnsinoFundamental,SextoAnoF,Matematica,Primeiro,50,Sim,Bom,Acima-15
M,EnsinoFundamental,SextoAnoF,Matematica,Primeiro,19,Nao,Bom,Acima-15
M,EnsinoFundamental,SextoAnoF,Historia,Primeiro,5,Nao,Ruim,Abaixo-15
M,EnsinoFundamental,SextoAnoF,Matematica,Primeiro,20,Sim,Ruim,Abaixo-15
F,EnsinoFundamental,SextoAnoF,Matematica,Primeiro,62,Nao,Ruim,Abaixo-15
F,EnsinoFundamental,SextoAnoF,Historia,Primeiro,30,Sim,Bom,Acima-15
M,EnsinoFundamental,SextoAnoF,Historia,Primeiro,36,Nao,Ruim,Abaixo-15
M,EnsinoFundamental,SextoAnoF,Matematica,Primeiro,55,Nao,Ruim,Abaixo-15
F,EnsinoFundamental,SextoAnoF,Geografia,Primeiro,69,Sim,Bom,Acima-15
M,EnsinoFundamental,SextoAnoF,Geografia,Primeiro,70,Sim,Bom,Acima-15
F,EnsinoFundamental,SextoAnoF,Geografia,Primeiro,60,Sim,Mediano,Abaixo-15
F,EnsinoFundamental,SextoAnoF,Geografia,Primeiro,10,Sim,Mediano,Acima-15
M,EnsinoFundamental,SextoAnoF,Geografia,Primeiro,15,Nao,Mediano,Acima-15
M,EnsinoFundamental,SextoAnoF,Geografia,Primeiro,2,Nao,Mediano,Abaixo-15
M,EnsinoFundamental,SextoAnoF,Geografia,Primeiro,0,Sim,Bom,Abaixo-15
M,EnsinoFundamental,SextoAnoF,Geografia,Primeiro,8,Nao,Bom,Abaixo-15
M,EnsinoFundamental,SetimoAnoF,Geografia,Primeiro,19,Sim,Ruim,Acima-15
M,EnsinoFundamental,SetimoAnoF,Ensino Religioso,Primeiro,25,Nao,Ruim,Abaixo-15
M,EnsinoFundamental,SetimoAnoF,Ciencias,Primeiro,75,Sim,Bom,Acima-15
F,EnsinoFundamental,SetimoAnoF,Ensino Religioso,Primeiro,30,Sim,Mediano,Acima-15
F,EnsinoFundamental,SetimoAnoF,Ensino Religioso,Primeiro,35,Sim,Bom,Acima-15
M,EnsinoFundamental,SetimoAnoF,Geografia,Primeiro,4,Nao,Bom,Abaixo-15
F,EnsinoFundamental,SetimoAnoF,Geografia,Primeiro,2,Nao,Bom,Abaixo-15
M,EnsinoFundamental,SetimoAnoF,Lingua Estrangeira,Primeiro,8,Nao,Mediano,Abaixo-15
M,EnsinoFundamental,SetimoAnoF,Ciencias,Primeiro,12,Sim,Mediano,Abaixo-15
M,EnsinoFundamental,SetimoAnoF,Lingua Estrangeira,Primeiro,10,Sim,Mediano,Abaixo-15
M,EnsinoFundamental,SetimoAnoF,Ciencias,Primeiro,8,Sim,Bom,Abaixo-15
F,EnsinoFundamental,SetimoAnoF,Geografia,Primeiro,45,Nao,Bom,Acima-15
M,EnsinoFundamental,SetimoAnoF,Geografia,Primeiro,0,Sim,Ruim,Abaixo-15
F,EnsinoFundamental,SetimoAnoF,Ciencias,Primeiro,50,Nao,Bom,Acima-15
F,EnsinoFundamental,SetimoAnoF,Geografia,Primeiro,14,Sim,Ruim,Abaixo-15
